album_id,album_name,album_type,release_date,total_tracks,spotify_url,image_url
6iPjmGZeonxBZ9r7Cjkezq,KEEP SWIMMING,album,2026-03-27,9,https://open.spotify.com/album/6iPjmGZeonxBZ9r7Cjkezq,https://i.scdn.co/image/ab67616d0000b273dd898ec5b8a2107a1ab9f47b
3ukkRHDHbN8tNRPKsGZR1h,ARIRANG,album,2026-03-20,14,https://open.spotify.com/album/3ukkRHDHbN8tNRPKsGZR1h,https://i.scdn.co/image/ab67616d0000b273dfa17fad7f190c901603270e
7xLhqoM0ilHRKUg2irVSDI,PERMISSION TO DANCE ON STAGE - LIVE,album,2025-07-18,22,https://open.spotify.com/album/7xLhqoM0ilHRKUg2irVSDI,https://i.scdn.co/image/ab67616d0000b273b79d4683964a0100d69e21ae
6al2VdKbb6FIz9d7lU7WRB,Proof,album,2022-06-10,35,https://open.spotify.com/album/6al2VdKbb6FIz9d7lU7WRB,https://i.scdn.co/image/ab67616d0000b27317db30ce3f081d6818a8ad49
6nYfHQnvkvOTNHnOhDT3sr,BE,album,2020-11-20,8,https://open.spotify.com/album/6nYfHQnvkvOTNHnOhDT3sr,https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5
1nScVw87kRJiT2bg2Kswhp,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,album,2020-07-14,13,https://open.spotify.com/album/1nScVw87kRJiT2bg2Kswhp,https://i.scdn.co/image/ab67616d0000b273da9c76ed020a7894443a3f97
5W1XY5ucNATjTULERvXx9j,MAP OF THE SOUL : 7,album,2020-02-21,20,https://open.spotify.com/album/5W1XY5ucNATjTULERvXx9j,https://i.scdn.co/image/ab67616d0000b273505190077497c230422f2934
2KqlAl1Kl5fZvbFgJ0qFB6,MAP OF THE SOUL : PERSONA,album,2019-04-12,7,https://open.spotify.com/album/2KqlAl1Kl5fZvbFgJ0qFB6,https://i.scdn.co/image/ab67616d0000b27318d0ed4f969b376893f9a38f
43wFM1HquliY3iwKWzPN4y,Love Yourself 結 'Answer',album,2018-08-24,26,https://open.spotify.com/album/43wFM1HquliY3iwKWzPN4y,https://i.scdn.co/image/ab67616d0000b273af396dce4438624ec801ff1a
4NIqCxqP9o8Tp6tGLBqd8O,Love Yourself 轉 'Tear',album,2018-05-18,11,https://open.spotify.com/album/4NIqCxqP9o8Tp6tGLBqd8O,https://i.scdn.co/image/ab67616d0000b273a274bd961be8afb88d0d5c54
66J1OXSaS3hBZASOV3el8t,FACE YOURSELF,album,2018-04-04,12,https://open.spotify.com/album/66J1OXSaS3hBZASOV3el8t,https://i.scdn.co/image/ab67616d0000b2737df155730d4d753560ec28a5
07Rq17GzCnIdWJcyVHb57G,Love Yourself 承 'Her',album,2017-09-18,9,https://open.spotify.com/album/07Rq17GzCnIdWJcyVHb57G,https://i.scdn.co/image/ab67616d0000b27340f078d0a28bffb93e2e2c11
6THpewjqJ15ORBJkh5CEYb,You Never Walk Alone,album,2017-02-13,18,https://open.spotify.com/album/6THpewjqJ15ORBJkh5CEYb,https://i.scdn.co/image/ab67616d0000b2731fd0a8fc28b2a0a5d9cdc6c6
1vhNGBTFoaSTLbHjPGFIlF,Wings,album,2016-10-10,15,https://open.spotify.com/album/1vhNGBTFoaSTLbHjPGFIlF,https://i.scdn.co/image/ab67616d0000b2738bd5d941f9ced8e7f9c60dd4
442zUwKHCTO47XPF7cUSqY,Youth,album,2016-09-07,13,https://open.spotify.com/album/442zUwKHCTO47XPF7cUSqY,https://i.scdn.co/image/ab67616d0000b273fb393e601ffd242273e04ea7
1k5bJ8l5oL5xxVBVHjil09,The Most Beautiful Moment in Life: Young Forever,album,2016-05-02,23,https://open.spotify.com/album/1k5bJ8l5oL5xxVBVHjil09,https://i.scdn.co/image/ab67616d0000b273cf5fcabbbae09fa45aa5116f
2ds8iT4wkaN1Q1gZe1qcOD,The Most Beautiful Moment in Life Pt.2,album,2015-11-30,9,https://open.spotify.com/album/2ds8iT4wkaN1Q1gZe1qcOD,https://i.scdn.co/image/ab67616d0000b273d5d5e874bde16f6ef86c99dc
0mEeCuKJQ8Xh9tQ5dMm89X,The Most Beautiful Moment in Life Pt.1,album,2015-04-29,9,https://open.spotify.com/album/0mEeCuKJQ8Xh9tQ5dMm89X,https://i.scdn.co/image/ab67616d0000b273019385816d2b6c1760e0d7db
2bXp5bEM5sgZdIznTesQZb,Wake Up (Standard Edition),album,2014-12-24,13,https://open.spotify.com/album/2bXp5bEM5sgZdIznTesQZb,https://i.scdn.co/image/ab67616d0000b2731bfda04c5a3714b6225e4ddc
35voVqYGkotyJ945O9egDY,Dark & Wild,album,2014-08-20,14,https://open.spotify.com/album/35voVqYGkotyJ945O9egDY,https://i.scdn.co/image/ab67616d0000b273abe7090bc3ae94d741dfaf6b
0pX41mddl0CZXxpxkQ7347,Skool Luv Affair (Special Addition),album,2014-05-14,12,https://open.spotify.com/album/0pX41mddl0CZXxpxkQ7347,https://i.scdn.co/image/ab67616d0000b2737fc4a9420eb2ca3aceafa88b
5r35iS0uSSoQBKzQj0IeI3,Skool Luv Affair,album,2014-02-12,10,https://open.spotify.com/album/5r35iS0uSSoQBKzQj0IeI3,https://i.scdn.co/image/ab67616d0000b273ab9433cc4b9cda9431be879a
6rWmdSJIaGTVtdMJQ35Lvf,"O!RUL8,2?",album,2013-09-11,10,https://open.spotify.com/album/6rWmdSJIaGTVtdMJQ35Lvf,https://i.scdn.co/image/ab67616d0000b27338a73fb596e530ac18446812
